s,t,x,y
"[(0, 5), (1, 13)]",10.1,"[[127.58558577400485, 127.63572254294317], [142.42878655162383, 142.4274931289328]]","[[207.84635112793637, 304.2191620807495], [218.16410008835723, 293.83401071750944]]"
"[(0, 5), (1, 13)]",10.2,"[[127.42331112687484, 127.63162010411872], [142.4304917417822, 142.4291645207589]]","[[207.62124577093584, 304.2148464384081], [218.16163571959643, 293.83642540488574]]"
"[(0, 5), (1, 13)]",10.3,"[[127.41718672445236, 127.4550877674967], [142.43194441983408, 142.43058234679387]]","[[207.6338601487911, 304.4442042965354], [218.15951356973545, 293.83849664105475]]"
"[(0, 5), (1, 13)]",10.4,"[[127.41499902691899, 127.45105080302102], [142.43316319979866, 142.43176541450327]]","[[207.63836613017747, 304.43588939627716], [218.15773311072115, 293.840224929695]]"
"[(0, 5), (1, 13)]",10.5,"[[127.18420956715164, 127.23395534950271], [142.69516607021504, 142.6943340148218]]","[[207.41225584539376, 304.65314931268165], [218.1757330595165, 293.82236359131394]]"
"[(0, 5), (1, 13)]",10.6,"[[127.03252434908276, 127.17648189042671], [142.76920547190323, 142.76869990258118]]","[[207.29776534728578, 304.68784624724935], [218.17752403084265, 293.82057465264666]]"
"[(0, 5), (1, 13)]",10.7,"[[127.02224046296112, 127.07012866390882], [142.77008610638023, 142.769569881065]]","[[207.30794400918268, 304.75995666059015], [218.1742121905115, 293.8238464185214]]"
"[(0, 5), (1, 8), (1, 13)]",10.8,"[[127.01862871124911, 127.06503466744927], [137.36436147660226, 137.36507969198084], [142.77087788997179, 142.77035081743088]]","[[207.31306511115446, 304.7527338841112], [245.61223307178238, 266.38458379854575], [218.17123449556485, 293.8267833198354]]"
"[(0, 5), (1, 8), (1, 13)]",10.9,"[[126.99920122903319, 127.0416064561218], [137.3755694153357, 137.37662611404016], [142.77158218675106, 142.7710440785972]]","[[207.29994091793543, 304.7648629872026], [241.66190664242117, 270.3334100702244], [218.1685858160733, 293.82939049721784]]"
"[(0, 5), (1, 8), (1, 13)]",11.0,"[[126.73367345866374, 127.04387500763417], [137.3893557603394, 137.39057390949458], [142.77220032068115, 142.77165099149892]]","[[206.98862203989236, 304.7683627459485], [239.72300770646854, 272.27159345797867], [218.16626117295158, 293.83167294093073]]"
"[(0, 5), (1, 8), (1, 13)]",11.1,"[[126.72451018922995, 126.76699293819334], [137.4006015720944, 137.40189351401403], [142.772733578762, 142.77217284620176]]","[[207.0010220468423, 305.0725940519694], [238.77284913029203, 273.22142498471413], [218.16425572612295, 293.83363550258025]]"
"[(0, 5), (1, 8), (1, 13)]",11.2,"[[126.61637057669127, 126.75910495291546], [137.4151389514135, 137.4165091599346], [142.77318321392661, 142.7726108987614]]","[[206.83473253766718, 305.06714023003667], [237.83727877749868, 274.15664846002636], [218.1625647636279, 293.8352829058697]]"
"[(0, 5), (1, 8), (1, 13)]",11.3,"[[126.60883098923661, 126.65681841513398], [137.43362081839416, 137.435079675376], [142.7735504476932, 142.7729663738406]]","[[206.84523814735346, 305.22162720428014], [236.91919038915478, 275.07434395850163], [218.16118369164985, 293.8366197564414]]"
"[(0, 5), (1, 8), (1, 13)]",11.4,"[[126.42650197489309, 126.64286704592087], [137.45534476399175, 137.45648927960298], [142.77383647258702, 142.7732404671101]]","[[206.61539466389866, 305.2293733393908], [236.0784928279816, 275.89577146812417], [218.16010802540706, 293.8376505509062]]"
"[(0, 5), (1, 8), (1, 13)]",11.5,"[[126.41915778255577, 126.45904383898059], [137.49279972638604, 137.49388562390766], [142.77404245435739, 142.77343434746146]]","[[206.63053881805948, 305.451708563221], [234.92070923121537, 277.0548731576995], [218.1593333808157, 293.8383796851655]]"
"[(0, 5), (1, 8), (1, 13)]",11.6,"[[126.41535066554601, 126.45388730877238], [137.49997768584274, 137.5], [142.77489083870867, 142.77427913329564]]","[[206.63764366826544, 305.4410754963266], [234.79244027234927, 277.15504155662956], [218.1588481512111, 293.83881976568404]]"
"[(0, 5), (1, 8), (1, 13)]",11.7,"[[126.41543764494709, 126.45212514108323], [137.5, 137.5], [142.77494093148076, 142.7743169876248]]","[[206.63746451705006, 305.43810061028694], [234.8466499928494, 277.1013365470483], [218.1586571761029, 293.83896408260443]]"
"[(0, 5), (1, 8), (1, 13)]",11.8,"[[126.0734839524869, 126.11835503397457], [137.5, 137.5], [142.774915388133, 142.7742790488493]]","[[206.36396767050684, 305.71867940354974], [234.89447513750255, 277.0545264249333], [218.158754558288, 293.8388194437384]]"
"[(0, 5), (1, 8), (1, 13)]",11.9,"[[126.06717948630441, 126.11043325672411], [137.5, 137.5], [142.77481527779545, 142.774166389249]]","[[206.37557973035018, 305.70408845344616], [234.93569195606239, 277.0142573744895], [218.15913622178456, 293.8383899370757]]"
"[(0, 4), (1, 7), (1, 12)]",12.0,"[[125.98599606781247, 126.05207402354291], [137.5, 137.5], [142.77464165170645, 142.77398006320863]]","[[206.32307553492754, 305.7302930978482], [234.9706403480748, 276.975922797442], [218.1597981588218, 293.8376795823829]]"
"[(0, 4), (1, 7), (1, 12)]",12.1,"[[125.98442765264313, 126.02689034549064], [137.5, 137.5], [142.77439554453224, 142.77372110853102]]","[[206.32525039637653, 305.73809193434363], [234.9996418941507, 276.94177857314435], [218.1607364248085, 293.836692336209]]"
"[(0, 4), (1, 7), (1, 12)]",12.2,"[[125.7152836625178, 126.02740182356703], [137.5, 137.5], [143.20507706656883, 143.20402067535085]]","[[206.02006051709355, 305.7388860323919], [235.02787746608468, 276.91452195597157], [218.1720834496954, 293.82591815027223]]"
"[(0, 4), (1, 7), (1, 12)]",12.3,"[[125.7088167964938, 125.75244923325204], [137.5, 137.5], [143.20581453228547, 143.2047388032506]]","[[206.0333935242446, 306.05402235832844], [235.04961770247408, 276.89376730708926], [218.17068836851055, 293.8272766496555]]"
"[(0, 3), (1, 7), (1, 12)]",12.4,"[[125.70498398280664, 125.74504048150271], [137.5, 137.5], [143.20642661396204, 143.20533131325232]]","[[206.0411484751887, 306.0394341209323], [235.06515366010495, 276.879152380022], [218.16953047925372, 293.8283975147162]]"
"[(0, 3), (1, 7), (1, 12)]",12.5,"[[125.70380620659505, 125.74129599896494], [137.5, 137.5], [143.20691483897957, 143.20579973662464]]","[[206.04357711862505, 306.03240434089514], [235.07483090242638, 276.8703366146313], [218.1686068925425, 293.829283642191]]"
"[(0, 4), (1, 7), (1, 12)]",12.6,"[[125.41778760783316, 125.63434010872777], [137.5, 137.5], [143.39696102706682, 143.4122716202526]]","[[205.67774213102953, 306.1903210307016], [235.07897442534124, 276.86699958806753], [218.18477271235886, 293.8117779353737]]"
"[(0, 3), (1, 7), (1, 12)]",12.7,"[[125.40882461345967, 125.4582115481092], [137.5, 137.5], [143.41468960317843, 143.41331754955675]]","[[205.69743168239359, 306.41105958134926], [235.0778901122165, 276.8688396036096], [218.18469031959842, 293.8133056366573]]"
"[(0, 3), (1, 7), (1, 12)]",12.8,"[[125.38894157236672, 125.45158879706491], [137.5, 137.5], [143.4156295510262, 143.41423329066998]]","[[205.69284641081322, 306.39651098392477], [235.07186606091338, 276.87557240149994], [218.1833472034353, 293.8146130646937]]"
"[(0, 3), (1, 7), (1, 12)]",12.9,"[[125.38688766414252, 125.43532378094459], [137.5, 137.5], [143.41640214783925, 143.41498114806686]]","[[205.69708168970445, 306.4027964161663], [235.06117379748855, 276.88692997833175], [218.18221855265318, 293.8157055748123]]"
"[(0, 3), (1, 7), (1, 12)]",13.0,"[[125.30779849607563, 125.34178629976864], [137.5, 137.5], [143.68495981464056, 143.68411724236103]]","[[205.62921287858023, 306.48309321481383], [235.0460693889143, 276.90265950351267], [218.1990801446144, 293.79899244855477]]"
"[(0, 10), (1, 10), (1, 12)]",13.1,"[[125.03391595824255, 125.0917060728668], [137.5000028762946, 137.5000083067118], [143.76280841892424, 143.76229992722975]]","[[205.43743198332126, 306.6691457531399], [235.0267544463423, 276.92273340991943], [218.2015817058597, 293.79650598733673]]"
"[(0, 10), (1, 10), (1, 12)]",13.2,"[[125.0106416139209, 125.08433804076667], [137.5000003951144, 137.50000576176967], [143.7634463045492, 143.7629305174286]]","[[205.43706186280906, 306.65602423983125], [235.00367523788003, 276.9464057132704], [218.199182781681, 293.7988774752895]]"
"[(0, 10), (1, 10), (1, 12)]",13.3,"[[125.00883860648729, 125.05957081058553], [137.50010519149353, 137.50018513332878], [143.76402707696096, 143.7635039375454]]","[[205.44070033233825, 306.6616772703935], [234.9784603333907, 276.9782349753708], [218.19699864564421, 293.8010339612313]]"
"[(0, 10), (1, 10), (1, 12)]",13.4,"[[124.9496145499843, 125.05926906903333], [137.50010247047265, 137.50010686656626], [143.76455165879474, 143.76402111255823]]","[[205.3703952012998, 306.66106835585276], [234.95315019747318, 277.0059586327987], [218.19502582795477, 293.8029789237674]]"
"[(0, 10), (1, 10), (1, 12)]",13.5,"[[124.68992356143046, 124.99650778755489], [137.50318363096216, 137.50331960279738], [143.76502095398996, 143.76448294871054]]","[[205.08007786316637, 306.6949471204324], [234.86249151586026, 277.09938435068534], [218.19326092912863, 293.80471577104686]]"
"[(0, 10), (1, 10), (1, 12)]",13.6,"[[124.68411703740196, 124.7195130563619], [137.50308337796102, 137.50321823603286], [143.76543584871428, 143.76489033443676]]","[[205.09268341300358, 306.98491480806666], [234.83438232112718, 277.1278058252646], [218.19170061651653, 293.8062478442437]]"
"[(0, 10), (1, 10), (1, 12)]",13.7,"[[124.6810491991372, 124.71497656770453], [137.50297437759292, 137.50310821246308], [143.76579721222558, 143.7652441412339]]","[[205.0994229538615, 306.97510994746125], [234.80382051711246, 277.15865451720384], [218.19034162106243, 293.8075784208346]]"
"[(0, 10), (1, 10), (1, 12)]",13.8,"[[124.6774265518171, 124.71139953382992], [137.5216291905158, 137.52261752858263], [143.76610589768362, 143.7655452244938]]","[[205.09797350972124, 306.97207978799946], [234.4037409809539, 277.57403514058984], [218.18918073425147, 293.8087107177286]]"
"[(0, 10), (1, 10), (1, 12)]",13.9,"[[124.367342012596, 124.54484722503844], [137.52083261547935, 137.52181735445552], [143.76636274292574, 143.76579442430221]]","[[204.7885865337696, 307.1714773147687], [234.38582910708692, 277.59202794400534], [218.18821480519247, 293.80964789427316]]"
"[(0, 10), (1, 10), (1, 12)]",14.0,"[[124.35895432740782, 124.4124909138771], [137.51997169352052, 137.52095302508155], [143.76656857121338, 143.7659925662048]]","[[204.807012911613, 307.3105982467222], [234.3664703212467, 277.6114633493567], [218.18744073781016, 293.81039305513315]]"
"[(0, 10), (1, 10), (1, 12)]",14.1,"[[124.35451149720134, 124.40582011724123], [137.5436199280302, 137.54456156481237], [143.76672419194873, 143.76614046193254]]","[[204.81677308575433, 307.2959435933141], [233.8982271229736, 278.08059912879315], [218.18685548815085, 293.8109492530209]]"
"[(0, 10), (1, 10), (1, 12)]",14.2,"[[124.29036362438019, 124.32454927857837], [137.54283277264074, 137.5437710984982], [143.76683040135487, 143.76623891008273]]","[[204.76852921281193, 307.35682688450237], [233.8805270603243, 278.0983736412587], [218.18645606182358, 293.81131949125574]]"
"[(0, 10), (1, 10), (1, 11)]",14.3,"[[124.27016943151477, 124.32284168506985], [137.5419917353517, 137.5429269289738], [143.76688798311417, 143.76628869674835]]","[[204.75355081100668, 307.35060415968013], [233.86161540335635, 278.1173557300161], [218.18623951160015, 293.81150672613177]]"
"[(0, 9), (1, 9), (1, 10)]",14.4,"[[123.96212108758009, 124.02132733221407], [137.58446151927532, 137.5863719512915], [143.76771786781094, 143.7671192364345]]","[[204.53405995520367, 307.53935180961645], [233.16095050908714, 278.8305824585741], [218.1861945893595, 293.81152317136423]]"
"[(0, 9), (1, 9), (1, 10)]",14.5,"[[123.95794198249754, 123.99747861744399], [137.58301852013602, 137.58492805979645], [143.76768215698596, 143.76707579259016]]","[[204.5423199506692, 307.53582415409215], [233.15455513868207, 278.83698178389875], [218.18633073432383, 293.81135754481716]]"
"[(0, 9), (1, 9), (1, 10)]",14.6,"[[123.9558003060653, 123.99463945395621], [137.5814634425981, 137.58337200611723], [143.76760073207075, 143.76698660894021]]","[[204.54363379643564, 307.5302125513515], [233.1476630369526, 278.8438782118854], [218.18664116098512, 293.8110175385351]]"
"[(0, 9), (1, 9), (1, 10)]",14.7,"[[123.95744459053917, 123.99357074124512], [137.63535380672658, 137.63736833437991], [143.76747432444668, 143.76685241923477]]","[[204.54036400919784, 307.5314756441006], [232.3865050642822, 279.6045665516436], [218.1871230810044, 293.8105059498875]]"
"[(0, 9), (1, 9), (1, 10)]",14.8,"[[123.63667640705141, 123.72762329699788], [137.63404588801959, 137.6360586353185], [143.7673036554716, 143.76667394715662]]","[[204.1969027488944, 307.8434323760705], [232.3807083701865, 279.61037113626793], [218.18777374425633, 293.8098255378636]]"
"[(0, 8), (1, 8), (1, 9)]",14.9,"[[123.63116122683385, 123.67244247007795], [137.63264081837826, 137.63464383341247], [144.18970442339787, 144.18869269480908]]","[[204.2090187013036, 307.88166946459677], [232.37448110326963, 279.61664153657], [218.20116423916787, 293.79692185014244]]"
"[(0, 8), (1, 8), (1, 9)]",15.0,"[[123.62845298842534, 123.66775783223838], [137.69193530996196, 137.69401857586783], [144.1902327056451, 144.18920844853665]]","[[204.21496825986307, 307.8713780784806], [231.63727421681347, 280.353492751262], [218.20016487525612, 293.79789751355986]]"
"[(0, 8), (1, 8), (1, 9)]",15.1,"[[123.47133119364946, 123.66576441855966], [137.69079089110159, 137.69287652705094], [144.19068017370813, 144.18964333416773]]","[[204.10493541137296, 307.8669988733938], [231.63220215383615, 280.35855431020946], [218.1993183894311, 293.79872019690333]]"
"[(0, 8), (1, 8), (1, 9)]",15.2,"[[123.4697604881392, 123.49618019938279], [137.68953715143826, 137.75704288504363], [144.19104790283768, 144.18999842996803]]","[[204.11069506457883, 307.9861839325136], [231.62664558119508, 281.0741690907518], [218.19862274761596, 293.7993919399534]]"
"[(0, 7), (1, 7), (1, 8)]",15.3,"[[123.2686526980335, 123.33512702074722], [137.75395125525063, 137.7561251388609], [144.37393517599352, 144.37253514553282]]","[[204.00452576130334, 308.14064237757907], [230.91212880981988, 281.0782365407013], [218.21529661747206, 293.7828474512617]]"
"[(0, 7), (1, 7), (1, 8)]",15.4,"[[123.22988510238434, 123.3276460818532], [137.83480660238968, 137.83767506488763], [144.37476861594158, 144.3733511705066]]","[[203.99029918230795, 308.1242079736177], [230.13488686700651, 281.85877321054704], [218.21419177918352, 293.78392920362734]]"
"[(0, 7), (1, 7), (1, 8)]",15.5,"[[123.22858587171262, 123.27067900400993], [137.8340988911157, 137.83696306190816], [144.37549538830152, 144.37406042612628]]","[[203.99506335869538, 308.15928883705124], [230.13332267204336, 281.8603468911075], [218.21322834332688, 293.7848694186564]]"
"[(0, 7), (1, 7), (1, 8)]",15.6,"[[123.22674409442305, 123.2695407461597], [137.9293002302956, 137.93236139384226], [144.39469734802285, 144.3933804808526]]","[[203.9870061025738, 308.15511493530244], [229.34373821961347, 282.64949594694946], [218.21392608609668, 293.7841501638483]]"
"[(0, 7), (1, 7), (1, 8)]",15.7,"[[122.88877489843152, 123.26213826611855], [137.92902741395264, 138.03432194079747], [144.39521832551003, 144.39388576737824]]","[[203.67907305745152, 308.16572645542567], [229.343135236497, 283.4241410884681], [218.21316501429516, 293.7848883134533]]"
