index,t,n,dn,rates
21,310.10000000000196,4,2.0,0.012499999999997149
29,390.1000000000202,6,-2.0,0.04999999999998849
31,410.1000000000248,4,2.0,0.014285714285711038
38,480.1000000000407,6,2.0,0.019999999999995497
43,530.100000000052,8,-2.0,0.09999999999997612
44,540.1000000000544,6,2.0,0.049999999999988914
46,560.1000000000588,8,-2.0,0.09999999999997726
47,570.1000000000611,6,2.0,0.04999999999998863
49,590.1000000000656,8,2.0,0.024999999999994315
53,630.1000000000747,10,-2.0,0.09999999999997726
54,640.100000000077,8,-2.0,0.09999999999997726
55,650.1000000000793,6,-2.0,0.09999999999997726
56,660.1000000000815,4,1.0,0.09999999999997726
57,670.1000000000838,5,-1.0,0.09999999999997726
58,680.1000000000861,4,2.0,0.033333333333325756
61,710.1000000000929,6,-2.0,0.09999999999997726
62,720.1000000000952,4,2.0,0.09999999999997726
63,730.1000000000975,6,-2.0,0.00833333333333143
75,850.1000000001249,4,2.0,0.09999999999998067
76,860.1000000001268,6,2.0,0.09999999999997498
77,870.1000000001293,8,2.0,0.04999999999998863
79,890.1000000001338,10,2.0,0.033333333333325756
82,920.1000000001407,12,-2.0,0.0999999999999784
83,930.1000000001428,10,-2.0,0.09999999999997498
84,940.1000000001453,8,-2.0,0.0499999999999892
86,960.1000000001496,6,2.0,0.04999999999998806
88,980.1000000001544,8,-2.0,0.0499999999999892
90,1000.1000000001587,6,2.0,0.09999999999997498
91,1010.1000000001612,8,1.0,0.0999999999999784
92,1020.1000000001634,9,-3.0,0.009090909090917022
103,1130.1000000000674,6,-2.0,0.0066666666666727195
118,1280.0999999999312,4,2.0,0.02500000000002288
122,1320.0999999998946,6,-2.0,0.005555555555560601
140,1500.0999999997312,4,2.0,0.025000000000022737
144,1540.0999999996948,6,-2.0,0.10000000000009322
145,1550.0999999996855,4,2.0,0.025000000000022594
149,1590.0999999996493,6,-2.0,0.007692307692314715
162,1720.0999999995306,4,2.0,0.0200000000000181
167,1770.0999999994854,6,2.0,0.050000000000044904
169,1790.0999999994674,8,2.0,0.05000000000004661
171,1810.0999999994488,10,-4.0,0.005882352941181813
188,1980.0999999992944,6,-2.0,0.10000000000009095
189,1990.0999999992853,4,4.0,0.02000000000001819
194,2040.0999999992398,8,-2.0,0.10000000000008867
195,2050.099999999231,6,-2.0,0.05000000000004547
197,2070.0999999992127,4,2.0,0.014285714285727278
204,2140.099999999149,6,2.0,0.020000000000018007
209,2190.099999999104,8,2.0,0.1000000000000955
210,2200.0999999990945,10,2.0,0.10000000000009095
211,2210.0999999990854,12,-4.0,0.10000000000009095
212,2220.0999999990763,8,-2.0,0.10000000000009095
213,2230.099999999067,6,-2.0,0.025000000000022737
217,2270.099999999031,4,4.0,0.03333333333336314
220,2300.099999999004,8,-2.0,0.033333333333364155
223,2330.0999999989763,6,-2.0,0.01000000000000914
233,2430.099999998885,4,2.0,0.10000000000008641
234,2440.0999999988762,6,2.0,0.03333333333336365
237,2470.099999998849,8,-2.0,0.025000000000022452
241,2510.099999998813,6,-2.0,0.01250000000001144
249,2590.09999999874,4,2.0,0.025000000000022737
253,2630.0999999987034,6,-2.0,0.00909090909091736
264,2740.0999999986034,4,2.0,0.03333333333336365
267,2770.099999998576,6,-2.0,0.02000000000001837
272,2820.09999999853,4,-2.0,0.025000000000022452
276,2860.0999999984942,2,4.0,0.05000000000004547
278,2880.099999998476,6,-2.0,0.050000000000044335
280,2900.0999999984583,4,-2.0,0.10000000000009095
281,2910.099999998449,2,2.0,0.007142857142863686
295,3050.099999998321,4,-2.0,0.002222222222224241
340,3500.099999997912,2,2.0,0.007142857142863639
354,3640.099999997785,4,-2.0,0.014285714285727278
361,3710.099999997721,2,2.0,0.016666666666681824
367,3770.0999999976666,4,2.0,0.014285714285727278
374,3840.099999997603,6,-2.0,0.0166666666666817
380,3900.099999997549,4,2.0,0.03333333333336466
383,3930.0999999975206,6,2.0,0.014285714285727186
390,4000.0999999974574,8,-2.0,0.01111111111112116
399,4090.099999997376,6,2.0,0.009999999999966393
409,4190.099999997712,8,-4.0,0.007692307692279708
422,4320.099999998185,4,-2.0,0.02499999999990905
426,4360.0999999983305,2,2.0,0.03333333333321207
429,4390.09999999844,4,2.0,0.0999999999996362
430,4400.099999998476,6,-2.0,0.00999999999996362
440,4500.09999999884,4,2.0,0.0999999999996453
441,4510.099999998875,6,2.0,0.04999999999981583
443,4530.099999998949,8,2.0,0.04999999999981583
445,4550.099999999023,10,-2.0,0.0999999999996453
446,4560.099999999058,8,-2.0,0.02499999999990848
450,4600.099999999205,6,-2.0,0.007142857142831203
464,4740.099999999713,4,-2.0,0.014285714285662129
471,4810.0999999999685,2,2.0,0.02499999999990962
475,4850.100000000113,4,-2.0,0.0499999999998181
477,4870.100000000186,2,4.0,0.01999999999992724
482,4920.100000000368,6,-4.0,0.02499999999990962
486,4960.100000000512,2,-2.0,9.99999999996362
487,4960.200000000513,0,,
